id_siniestro,score_riesgo,nivel_riesgo,recomendacion,explicacion_score,score_reglas,score_documental,score_nlp,score_modelo,modelo_fallback,rule_points,rule_alerts,rule_critical_flags,rule_severity_max,rule_n_rules_fired,rule_n_critical
SIN-0001,2.2,BAJO,Continuar flujo normal de liquidación. Sin señales de riesgo significativas.,Score de riesgo: 2/100 (Nivel BAJO). (Modelo ML no disponible — score calculado con reglas y señales documentales.),0.0,0.0,15.0,0.0,True,0,,,NINGUNA,0,0
SIN-0002,13.8,BAJO,Continuar flujo normal de liquidación. Sin señales de riesgo significativas.,"Score de riesgo: 14/100 (Nivel BAJO). Motor de reglas: 1 regla(s) activada(s), 0 crítica(s). (Modelo ML no disponible — score calculado con reglas y señales documentales.)",6.7,0.0,65.0,6.7,True,4,R023,,BAJO,1,0
SIN-0003,3.8,BAJO,Continuar flujo normal de liquidación. Sin señales de riesgo significativas.,Score de riesgo: 4/100 (Nivel BAJO). (Modelo ML no disponible — score calculado con reglas y señales documentales.),0.0,0.0,25.0,0.0,True,0,,,NINGUNA,0,0
SIN-0004,72.9,ALTO,Detener pago. Revisión especializada de campo requerida.,"Score de riesgo: 73/100 (Nivel ALTO). Motor de reglas: 5 regla(s) activada(s), 3 crítica(s). Señales documentales PDF: score 75/100. Narrativa con similitud 88% respecto a otro siniestro. (Modelo ML no disponible — score calculado con reglas y señales documentales.)",68.3,75.0,88.0,68.3,True,41,R002|R012|R013|R014|R023,R012|R013|R014,CRÍTICO,5,3
SIN-0005,91.6,ALTO,Detener pago. Revisión especializada de campo requerida.,"Score de riesgo: 92/100 (Nivel ALTO). Motor de reglas: 7 regla(s) activada(s), 5 crítica(s). Señales documentales PDF: score 100/100. (Modelo ML no disponible — score calculado con reglas y señales documentales.)",100.0,100.0,44.0,100.0,True,61,R002|R006|R012|R013|R019|R021|R023,R006|R012|R013|R019|R021,CRÍTICO,7,5
SIN-0006,70.1,ALTO,Detener pago. Revisión especializada de campo requerida.,"Score de riesgo: 70/100 (Nivel ALTO). Motor de reglas: 5 regla(s) activada(s), 3 crítica(s). Señales documentales PDF: score 75/100. (Modelo ML no disponible — score calculado con reglas y señales documentales.)",73.3,75.0,49.0,73.3,True,44,R005|R011|R012|R013|R023,R011|R012|R013,CRÍTICO,5,3
SIN-0007,9.4,BAJO,Continuar flujo normal de liquidación. Sin señales de riesgo significativas.,"Score de riesgo: 9/100 (Nivel BAJO). Motor de reglas: 1 regla(s) activada(s), 0 crítica(s). (Modelo ML no disponible — score calculado con reglas y señales documentales.)",13.3,0.0,9.0,13.3,True,8,R008,,ALTO,1,0
SIN-0008,11.6,BAJO,Continuar flujo normal de liquidación. Sin señales de riesgo significativas.,"Score de riesgo: 12/100 (Nivel BAJO). Motor de reglas: 1 regla(s) activada(s), 0 crítica(s). (Modelo ML no disponible — score calculado con reglas y señales documentales.)",13.3,0.0,24.0,13.3,True,8,R008,,ALTO,1,0
SIN-0009,71.9,ALTO,Detener pago. Revisión especializada de campo requerida.,"Score de riesgo: 72/100 (Nivel ALTO). Motor de reglas: 5 regla(s) activada(s), 3 crítica(s). Señales documentales PDF: score 75/100. Narrativa con similitud 81% respecto a otro siniestro. (Modelo ML no disponible — score calculado con reglas y señales documentales.)",68.3,75.0,81.0,68.3,True,41,R001|R012|R013|R015|R023,R001|R012|R013,CRÍTICO,5,3
SIN-0010,10.7,BAJO,Continuar flujo normal de liquidación. Sin señales de riesgo significativas.,"Score de riesgo: 11/100 (Nivel BAJO). Motor de reglas: 1 regla(s) activada(s), 0 crítica(s). (Modelo ML no disponible — score calculado con reglas y señales documentales.)",13.3,0.0,18.0,13.3,True,8,R008,,ALTO,1,0
SIN-0011,2.2,BAJO,Continuar flujo normal de liquidación. Sin señales de riesgo significativas.,Score de riesgo: 2/100 (Nivel BAJO). (Modelo ML no disponible — score calculado con reglas y señales documentales.),0.0,0.0,15.0,0.0,True,0,,,NINGUNA,0,0
SIN-0012,12.2,BAJO,Continuar flujo normal de liquidación. Sin señales de riesgo significativas.,"Score de riesgo: 12/100 (Nivel BAJO). Motor de reglas: 1 regla(s) activada(s), 0 crítica(s). (Modelo ML no disponible — score calculado con reglas y señales documentales.)",13.3,0.0,28.0,13.3,True,8,R008,,ALTO,1,0
SIN-0013,12.0,BAJO,Continuar flujo normal de liquidación. Sin señales de riesgo significativas.,"Score de riesgo: 12/100 (Nivel BAJO). Motor de reglas: 1 regla(s) activada(s), 0 crítica(s). (Modelo ML no disponible — score calculado con reglas y señales documentales.)",13.3,0.0,27.0,13.3,True,8,R008,,ALTO,1,0
SIN-0014,14.9,BAJO,Continuar flujo normal de liquidación. Sin señales de riesgo significativas.,"Score de riesgo: 15/100 (Nivel BAJO). Motor de reglas: 2 regla(s) activada(s), 0 crítica(s). (Modelo ML no disponible — score calculado con reglas y señales documentales.)",23.3,0.0,6.0,23.3,True,14,R008|R009,,ALTO,2,0
SIN-0015,16.6,BAJO,Continuar flujo normal de liquidación. Sin señales de riesgo significativas.,"Score de riesgo: 17/100 (Nivel BAJO). Motor de reglas: 2 regla(s) activada(s), 0 crítica(s). (Modelo ML no disponible — score calculado con reglas y señales documentales.)",23.3,0.0,17.0,23.3,True,14,R008|R009,,ALTO,2,0
SIN-0016,3.4,BAJO,Continuar flujo normal de liquidación. Sin señales de riesgo significativas.,Score de riesgo: 3/100 (Nivel BAJO). (Modelo ML no disponible — score calculado con reglas y señales documentales.),0.0,0.0,23.0,0.0,True,0,,,NINGUNA,0,0
SIN-0017,17.2,BAJO,Continuar flujo normal de liquidación. Sin señales de riesgo significativas.,"Score de riesgo: 17/100 (Nivel BAJO). Motor de reglas: 2 regla(s) activada(s), 0 crítica(s). (Modelo ML no disponible — score calculado con reglas y señales documentales.)",23.3,0.0,21.0,23.3,True,14,R008|R009,,ALTO,2,0
SIN-0018,1.5,BAJO,Continuar flujo normal de liquidación. Sin señales de riesgo significativas.,Score de riesgo: 2/100 (Nivel BAJO). (Modelo ML no disponible — score calculado con reglas y señales documentales.),0.0,0.0,10.0,0.0,True,0,,,NINGUNA,0,0
SIN-0019,17.0,BAJO,Continuar flujo normal de liquidación. Sin señales de riesgo significativas.,"Score de riesgo: 17/100 (Nivel BAJO). Motor de reglas: 2 regla(s) activada(s), 0 crítica(s). (Modelo ML no disponible — score calculado con reglas y señales documentales.)",23.3,0.0,20.0,23.3,True,14,R008|R009,,ALTO,2,0
SIN-0020,3.3,BAJO,Continuar flujo normal de liquidación. Sin señales de riesgo significativas.,Score de riesgo: 3/100 (Nivel BAJO). (Modelo ML no disponible — score calculado con reglas y señales documentales.),0.0,0.0,22.0,0.0,True,0,,,NINGUNA,0,0
SIN-0021,27.0,BAJO,Continuar flujo normal de liquidación. Sin señales de riesgo significativas.,"Score de riesgo: 27/100 (Nivel BAJO). Motor de reglas: 3 regla(s) activada(s), 1 crítica(s). (Modelo ML no disponible — score calculado con reglas y señales documentales.)",36.7,0.0,33.0,36.7,True,22,R008|R011|R023,R011,CRÍTICO,3,1
